Date,Transaction Description,Amount,Category,Status
07-01-2023,UPI,30000,Utilities,DR
08-01-2023,INDUS EMI,16991.64,EMI,DR
09-01-2023,SIMPL WWW.GETSIMPL.IN,"10,983.78",Outside Food,DR
10-01-2023,SIMPL WWW.GETSIMPL.IN,"10,374.73",Outside Food,DR
11-01-2023,AMAZON HTTP://WWW.AM IN,8699,Utilities,DR
12-01-2023,MAKEMYTRIP BILLDESK MUMBAI IN,8023,Home,DR
13-01-2023,Principal Amount Amortization - <3/6>,6307.06,EMI,DR
14-01-2023,MAKEMYTRIP BILLDESK MUMBAI IN,5559,Sru,DR
15-01-2023,MAKEMYTRIP BILLDESK MUMBAI IN,5259,Sru,DR
16-01-2023,AMAZON HTTP://WWW.AM IN,5249,Utilities,DR
17-01-2023,MAKEMYTRIP BILLDESK MUMBAI IN,4215,KSRTC,DR
18-01-2023,UPI,3700,Home,DR
19-01-2023,LOYLTY REWARDZ MGT PVT MUMBAI IN,"3,636.00",Sru,DR
20-01-2023,Zomato Private Limited GURGAON IN,"3,001.60",Outside Food,DR
21-01-2023,DEFMACRO SOFTWARE PRIV BANGALORE IN,"2,181.23",Utilities,DR
22-01-2023,AMAZON.IN-BILL PAYMENT HTTP://WWW.AM IN,2151,Home,DR
23-01-2023,UPI,2000,Home,DR
24-01-2023,AMAZON HTTP://WWW.AM IN,1899,Utilities,DR
25-01-2023,Principal Amount Amortization - <4/6>Paytm_AgodaCompanyPTEL,1639.28,EMI,DR
26-01-2023,AMAZON.IN-BILL PAYMENT HTTP://WWW.AM IN,1578,Home,DR
27-01-2023,GROFERS INDIA PRIVATE BANGALORE IN,"1,534.00",Blinkit,DR
28-01-2023,BLU-SMART MOBILITY PRI HTTPS://BLU-SIN,"1,380.00",Uber,DR
29-01-2023,AMAZON.IN-BILL PAYMENT HTTP://WWW.AM IN,1360,Utilities,DR
30-01-2023,Principal Amount Amortization - <4/9>,1330.8,EMI,DR
31-01-2023,ZEPTO GURGAON IN,"1,147.00",Blinkit,DR
01-02-2023,PHONEPE OLA WWW.OLACABS.CIN,"1,089.00",Uber,DR
02-02-2023,UBER INDIA SYSTEMS PRI NOIDA IN,"1,059.92",Uber,DR
03-02-2023,GROFERS INDIA PRIVATE BANGALORE IN,"1,044.00",Blinkit,DR
04-02-2023,UPI,1014,Utilities,DR
05-02-2023,Karnataka State Road T GURGAON IN,"1,000.00",KSRTC,DR
06-02-2023,Karnataka State Road T GURGAON IN,"1,000.00",KSRTC,DR
07-02-2023,Karnataka State Road T GURGAON IN,"1,000.00",KSRTC,DR
08-02-2023,ANI TECHNOLOGIES PRIVATE BANGALORE IN,988,Uber,DR
09-02-2023,Paytm_UBERINDIASYSTE NOIDA IN,969.94,Uber,DR
10-02-2023,uber,924,Uber,DR
11-02-2023,PAYTM PAYMENTS UTILITY PDELHI IN,837.8,Home,DR
12-02-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,746.33,Outside Food,DR
12-02-2023,BOOKMYSHOW MUMBAI IN,670.8,Entertaintment,DR
12-02-2023,ZOMATO ONLINE ORDER HTTPS://ZOMATIN,664.33,Outside Food,DR
12-02-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,664.33,Outside Food,DR
12-02-2023,Hotel Ujala,660,Home,DR
12-02-2023,ZOMATO GURGAON IN,635.25,Uber,DR
12-02-2023,BOOKMYSHOW MUMBAI IN,626.08,Entertaintment,DR
12-02-2023,AMAZON HTTP://WWW.AM IN,618,Utilities,DR
12-02-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,607.75,Outside Food,DR
12-02-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,605.12,Outside Food,DR
22-02-2023,Airtel GURGAON IN,588.82,Utilities,DR
23-02-2023,HMS Host Services India PBANGALORE IN,564.9,Outside Food,DR
24-02-2023,ZOMATO WWW.ZOMATO.COIN,536.55,Outside Food,DR
25-02-2023,UBER INDIA SYSTE PVT LTD NOIDA IN,524.07,Uber,DR
26-02-2023,SWIGGY BANGALORE IN,513,Outside Food,DR
27-02-2023,Paytm_ZOMATOLIMITED GURGAON IN,491.4,Outside Food,DR
28-02-2023,AMAZON HTTP://WWW.AM IN,465,Utilities,DR
01-03-2023,SIZZLER RANCH RESTAU DAKSHINA KANNIN,451,Outside Food,DR
02-03-2023,Belgian Fries Co BANGALORE IN,444,Outside Food,DR
03-03-2023,Buffalo Wild Wings BANGALORE IN,437,Outside Food,DR
03-03-2023,Buffalo Wild Wings BANGALORE IN,408.26,Outside Food,DR
03-03-2023,Geddit Convenience PVT LTMUMBAI IN,408,Blinkit,DR
03-03-2023,GROFERS INDIA PRIVATE BANGALORE IN,400,Blinkit,DR
03-03-2023,UPI,400,Utilities,DR
03-03-2023,UPI,400,Utilities,DR
03-03-2023,UPI,390,Uber,DR
03-03-2023,CINEPLEX PRIVATE LIMIT MANGALORE IN,360,Entertaintment,DR
03-03-2023,HMS Host Services India PBANGALORE IN,359,Outside Food,DR
03-03-2023,ZOMATO ONLINE ORDER HTTPS://ZOMATIN,356.39,Outside Food,DR
13-03-2023,UPI,345,Home,DR
14-03-2023,Interest Amount Amortization - <3/6>,342.94,EMI,DR
15-03-2023,ROADSTER HOSPITALITY P DAKSHINA KANNIN,340,Outside Food,DR
16-03-2023,UPI,320,Outside Food,DR
17-03-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,310.35,Outside Food,DR
18-03-2023,Leelas Kitchen,300,Outside Food,DR
19-03-2023,ZEPTO GURGAON IN,294,Blinkit,DR
20-03-2023,INDUS INTEREST,285.92,EMI,DR
21-03-2023,ola,277,Uber,DR
22-03-2023,UPI,275,Utilities,DR
23-03-2023,Paytm_UBERINDIASYSTE NOIDA IN,274.1,Uber,DR
24-03-2023,Paytm_UBERINDIASYSTE NOIDA IN,269.9,Uber,DR
25-03-2023,AMAZON HTTP://WWW.AM IN,265,Home,DR
26-03-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,262,Outside Food,DR
27-03-2023,ZOMATO ONLINE HTTP://WWW.ZOIN,260.4,Outside Food,DR
28-03-2023,BOOKMYSHOW COM GURGAON IN,238.76,Entertaintment,DR
29-03-2023,Paytm_UBERINDIASYSTE NOIDA IN,236.03,Uber,DR
30-03-2023,ANMOL A UNIT OF MAHA MANGALORE IN,235,Home,DR
31-03-2023,UBER INDIA SYSTEMS PRI NOIDA IN,232.02,Uber,DR
01-04-2023,Paytm_UBERINDIASYSTE NOIDA IN,231.21,Uber,DR
02-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,230.73,Uber,DR
03-04-2023,UPI,230,Blinkit,DR
04-04-2023,wellness forever,230,Utilities,DR
05-04-2023,ZOMATO NEW DELHI IN,228.9,Outside Food,DR
06-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,228.7,Uber,DR
07-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,228.42,Uber,DR
08-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,228.13,Uber,DR
09-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,227.85,Uber,DR
10-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,227.29,Uber,DR
11-04-2023,UPI,226,Uber,DR
12-04-2023,UPI,204,Uber,DR
13-04-2023,UPI,179.97,Outside Food,DR
14-04-2023,SMOKING AREA BANGALORE IN,170,Utilities,DR
15-04-2023,UBER INDIA SYSTEMS PRI NOIDA IN,164.68,Uber,DR
16-04-2023,UPI,155,Home,DR
17-04-2023,Uber,150,Uber,DR
18-04-2023,navmi,150,Home,DR
19-04-2023,UPI,145,Home,DR
20-04-2023,MEDPLUS KUNTIKAN MANGALORE IN,124,Home,DR
21-04-2023,Leelas Kitchen,120,Outside Food,DR
22-04-2023,UPI,116,Blinkit,DR
23-04-2023,UPI,115,Outside Food,DR
24-04-2023,ROADSTER HOSPITALITY P DAKSHINA KANNIN,110,Utilities,DR
25-04-2023,Jio,106.1,Home,DR
26-04-2023,Interest Amount Amortization - <4/9>,102.91,EMI,DR
27-04-2023,Travel Retail Relay BANGALORE IN,100,Outside Food,DR
28-04-2023,UPI,100,Outside Food,DR
29-04-2023,UPI,100,Utilities,DR
30-04-2023,UPI,91,Utilities,DR
01-05-2023,UPI,85,Outside Food,DR
02-05-2023,UPI,75,Home,DR
03-05-2023,Interest Amount Amortization - <4/6>Paytm_AgodaCompanyPTEL,74.88,EMI,DR
